term,variance,chi2,mutual_info,idf,avg_importance
0102031112301234,1.0,0.6211474852947765,0.0,,0.5403824950982589
01234,0.9460857367924594,0.6211474852947765,0.0,,0.5224110740290787
fakultas,0.10240297007354239,0.6734665033130515,0.6790363609157568,,0.4849686114341169
50131,0.41303243417021795,0.6211474852947765,0.3673312883435589,,0.4671704026028511
031112301234,0.7249914677494942,0.6211474852947765,0.0,,0.4487129843480902
1112301234,0.6967242617923234,0.6211474852947765,0.0,,0.4392905823623667
wirausaha,0.0,0.29804507085842497,1.0,,0.4326816902861417
196,0.5245183806906021,0.6211474852947765,0.11673275475086109,,0.4207995402454133
nomor,0.026184582146480687,1.0,0.19813955808269784,,0.40810804674305956
13052031112301234,0.5822783694306037,0.6211474852947765,0.0,,0.4011419515751267
account,0.3056668830129199,0.6211474852947765,0.2751571150680837,,0.40065716112526006
swasta,0.0,0.6211474852947765,0.5545600778093669,,0.39190252103471446
2023,0.4939890908661454,0.6211474852947765,0.04472168187939603,,0.38661941934677263
41a,0.45114860577091354,0.6211474852947765,0.08004139857349542,,0.3841124965463951
2001,0.5099857960819392,0.6211474852947765,0.0,,0.3770444271255719
207,0.48977553032067633,0.6211474852947765,0.0,,0.3703076718718176
jateng,0.06152164555249521,0.6211474852947765,0.42281410544166786,,0.3684944120963132
nasional,0.04983800110651203,0.6211474852947765,0.42281410544166786,,0.36459986394765215
sehat,0.011096258557255845,0.2973630587996067,0.7695645668113128,,0.3593412947227251
lombok,0.06052019031426804,0.6211474852947765,0.3759726170881342,,0.3525467642323929
luring,0.05954908220447204,0.6211474852947765,0.3652052471444962,,0.34863393821458155
timur,0.0,0.6211474852947765,0.3903748316624271,,0.3371741056524012
validas,0.0,0.7667100295382927,0.23846575889071847,,0.3350585961430037
reguler,0.01141286007141825,0.6211474852947765,0.3652052471444962,,0.332588530836897
rtera,0.011096258557255845,0.6211474852947765,0.3652052471444962,,0.3324829969988428
64129,0.3745592649963132,0.6211474852947765,0.0,,0.3319022500970299
a11,0.353721548294564,0.6211474852947765,0.005149882787171297,,0.3266729721255039
gital,0.0911100957728423,0.6211474852947765,0.2643897451244448,,0.3255491087306879
input,0.07234698276708514,0.6211474852947765,0.24998753055015235,,0.314493999537338
payment,0.012450338879365768,0.6211474852947765,0.3039615442166691,,0.31251978946360376
contoh,0.1328278672754604,0.6211474852947765,0.14917202853010145,,0.3010491270334461
nyelenggara,0.012450338879365768,0.388773380635995,0.5004489001945241,,0.300557539903295
atm,0.2171861516557684,0.6211474852947765,0.06200433936854753,,0.3001126587730308
tugas,0.0,0.6211474852947765,0.2751571150680837,,0.2987682001209534
ratur,0.01141286007141825,0.15516436034459122,0.7271123248042299,,0.29789651507341314
ntuk,0.026184582146480687,0.6211474852947765,0.24059180008977976,,0.2959746225103456
alih,0.2568054170067858,0.6211474852947765,0.0,,0.29265096743385405
ambil,0.2527995960538771,0.6211474852947765,0.0,,0.2913156937828845
imam,0.0911100957728423,0.6211474852947765,0.14917202853010145,,0.2871432031992401
mata,0.05359417398402482,0.6211474852947765,0.18565763878497654,,0.2867997660212593
ndri,0.04983800110651203,0.6211474852947765,0.18298294179260807,,0.28465614273129886
antarbank,0.22890790099588196,0.6211474852947765,0.0,,0.2833517954302195
